t	euler	rk4,exact
0	1	1	1

0.1	0.9	0.904837	0.904837

0.2	0.81	0.818731	0.818731

0.3	0.729	0.740818	0.740818

0.4	0.6561	0.67032	0.67032

0.5	0.59049	0.606531	0.606531

0.6	0.531441	0.548812	0.548812

0.7	0.478297	0.496586	0.496585

0.8	0.430467	0.449329	0.449329

0.9	0.38742	0.40657	0.40657

1	0.348678	0.36788	0.367879

1.1	0.313811	0.332871	0.332871

1.2	0.28243	0.301195	0.301194

1.3	0.254187	0.272532	0.272532

1.4	0.228768	0.246597	0.246597

1.5	0.205891	0.22313	0.22313

1.6	0.185302	0.201897	0.201897

1.7	0.166772	0.182684	0.182684

1.8	0.150095	0.165299	0.165299

1.9	0.135085	0.149569	0.149569

2	0.121577	0.135336	0.135335

2.1	0.109419	0.122457	0.122456

2.2	0.0984771	0.110803	0.110803

2.3	0.0886294	0.100259	0.100259

2.4	0.0797664	0.0907182	0.090718

2.5	0.0717898	0.0820852	0.082085

2.6	0.0646108	0.0742738	0.0742736

2.7	0.0581497	0.0672057	0.0672055

2.8	0.0523348	0.0608102	0.0608101

2.9	0.0471013	0.0550234	0.0550232

3	0.0423912	0.0497872	0.0497871

3.1	0.038152	0.0450493	0.0450492

3.2	0.0343368	0.0407623	0.0407622

3.3	0.0309032	0.0368833	0.0368832

3.4	0.0278128	0.0333734	0.0333733

3.5	0.0250316	0.0301975	0.0301974

3.6	0.0225284	0.0273238	0.0273237

3.7	0.0202756	0.0247236	0.0247235

3.8	0.018248	0.0223708	0.0223708

3.9	0.0164232	0.020242	0.0202419

4	0.0147809	0.0183157	0.0183156

4.1	0.0133028	0.0165727	0.0165727

4.2	0.0119725	0.0149956	0.0149956

4.3	0.0107753	0.0135686	0.0135686

4.4	0.00969774	0.0122774	0.0122773

4.5	0.00872796	0.011109	0.011109

4.6	0.00785517	0.0100519	0.0100518

4.7	0.00706965	0.00909532	0.00909528

4.8	0.00636269	0.00822978	0.00822975

4.9	0.00572642	0.00744662	0.00744658

5	0.00515378	0.00673798	0.00673795

