x	y
0.001	0.50025
0.002	0.500501
0.003	0.500751
0.004	0.501002
0.005	0.501253
0.006	0.501505
0.007	0.501756
0.008	0.502008
0.009	0.50226
0.01	0.502513
0.011	0.502765
0.012	0.503018
0.013	0.503271
0.014	0.503525
0.015	0.503778
0.016	0.504032
0.017	0.504286
0.018	0.504541
0.019	0.504796
0.02	0.505051
0.021	0.505306
0.022	0.505561
0.023	0.505817
0.024	0.506073
0.025	0.506329
0.026	0.506586
0.027	0.506842
0.028	0.507099
0.029	0.507357
0.03	0.507614
0.031	0.507872
0.032	0.50813
0.033	0.508388
0.034	0.508647
0.035	0.508906
0.036	0.509165
0.037	0.509424
0.038	0.509684
0.039	0.509944
0.04	0.510204
0.041	0.510465
0.042	0.510725
0.043	0.510986
0.044	0.511247
0.045	0.511509
0.046	0.511771
0.047	0.512033
0.048	0.512295
0.049	0.512558
0.05	0.512821
0.051	0.513084
0.052	0.513347
0.053	0.513611
0.054	0.513875
0.055	0.514139
0.056	0.514403
0.057	0.514668
0.058	0.514933
0.059	0.515198
0.06	0.515464
0.061	0.51573
0.062	0.515996
0.063	0.516262
0.064	0.516529
0.065	0.516796
0.066	0.517063
0.067	0.517331
0.068	0.517598
0.069	0.517866
0.07	0.518135
0.071	0.518403
0.072	0.518672
0.073	0.518941
0.074	0.519211
0.075	0.519481
0.076	0.519751
0.077	0.520021
0.078	0.520291
0.079	0.520562
0.08	0.520833
0.081	0.521105
0.082	0.521376
0.083	0.521648
0.084	0.521921
0.085	0.522193
0.086	0.522466
0.087	0.522739
0.088	0.523013
0.089	0.523286
0.09	0.52356
0.091	0.523834
0.092	0.524109
0.093	0.524384
0.094	0.524659
0.095	0.524934
0.096	0.52521
0.097	0.525486
0.098	0.525762
0.099	0.526039
0.1	0.526316
0.101	0.526593
0.102	0.52687
0.103	0.527148
0.104	0.527426
0.105	0.527704
0.106	0.527983
0.107	0.528262
0.108	0.528541
0.109	0.528821
0.11	0.529101
0.111	0.529381
0.112	0.529661
0.113	0.529942
0.114	0.530223
0.115	0.530504
0.116	0.530786
0.117	0.531067
0.118	0.53135
0.119	0.531632
0.12	0.531915
0.121	0.532198
0.122	0.532481
0.123	0.532765
0.124	0.533049
0.125	0.533333
0.126	0.533618
0.127	0.533903
0.128	0.534188
0.129	0.534474
0.13	0.534759
0.131	0.535045
0.132	0.535332
0.133	0.535619
0.134	0.535906
0.135	0.536193
0.136	0.536481
0.137	0.536769
0.138	0.537057
0.139	0.537346
0.14	0.537634
0.141	0.537924
0.142	0.538213
0.143	0.538503
0.144	0.538793
0.145	0.539084
0.146	0.539374
0.147	0.539665
0.148	0.539957
