x	y
0.001	1.001
0.002	1.002
0.003	1.00301
0.004	1.00402
0.005	1.00503
0.006	1.00604
0.007	1.00705
0.008	1.00806
0.009	1.00908
0.01	1.0101
0.011	1.01112
0.012	1.01215
0.013	1.01317
0.014	1.0142
0.015	1.01523
0.016	1.01626
0.017	1.01729
0.018	1.01833
0.019	1.01937
0.02	1.02041
0.021	1.02145
0.022	1.02249
0.023	1.02354
0.024	1.02459
0.025	1.02564
0.026	1.02669
0.027	1.02775
0.028	1.02881
0.029	1.02987
0.03	1.03093
0.031	1.03199
0.032	1.03306
0.033	1.03413
0.034	1.0352
0.035	1.03627
0.036	1.03734
0.037	1.03842
0.038	1.0395
0.039	1.04058
0.04	1.04167
0.041	1.04275
0.042	1.04384
0.043	1.04493
0.044	1.04603
0.045	1.04712
0.046	1.04822
0.047	1.04932
0.048	1.05042
0.049	1.05152
0.05	1.05263
0.051	1.05374
0.052	1.05485
0.053	1.05597
0.054	1.05708
0.055	1.0582
0.056	1.05932
0.057	1.06045
0.058	1.06157
0.059	1.0627
0.06	1.06383
0.061	1.06496
0.062	1.0661
0.063	1.06724
0.064	1.06838
0.065	1.06952
0.066	1.07066
0.067	1.07181
0.068	1.07296
0.069	1.07411
0.07	1.07527
0.071	1.07643
0.072	1.07759
0.073	1.07875
0.074	1.07991
0.075	1.08108
0.076	1.08225
0.077	1.08342
0.078	1.0846
0.079	1.08578
0.08	1.08696
0.081	1.08814
0.082	1.08932
0.083	1.09051
0.084	1.0917
0.085	1.0929
0.086	1.09409
0.087	1.09529
0.088	1.09649
0.089	1.09769
0.09	1.0989
0.091	1.10011
0.092	1.10132
0.093	1.10254
0.094	1.10375
0.095	1.10497
0.096	1.10619
0.097	1.10742
0.098	1.10865
0.099	1.10988
0.1	1.11111
0.101	1.11235
0.102	1.11359
0.103	1.11483
0.104	1.11607
0.105	1.11732
0.106	1.11857
0.107	1.11982
0.108	1.12108
0.109	1.12233
0.11	1.1236
0.111	1.12486
0.112	1.12613
0.113	1.1274
0.114	1.12867
0.115	1.12994
0.116	1.13122
0.117	1.1325
0.118	1.13379
0.119	1.13507
0.12	1.13636
0.121	1.13766
0.122	1.13895
0.123	1.14025
0.124	1.14155
0.125	1.14286
0.126	1.14416
0.127	1.14548
0.128	1.14679
0.129	1.14811
0.13	1.14943
0.131	1.15075
0.132	1.15207
0.133	1.1534
0.134	1.15473
0.135	1.15607
0.136	1.15741
0.137	1.15875
0.138	1.16009
0.139	1.16144
0.14	1.16279
0.141	1.16414
0.142	1.1655
0.143	1.16686
0.144	1.16822
0.145	1.16959
0.146	1.17096
0.147	1.17233
0.148	1.17371
0.149	1.17509
0.15	1.17647
0.151	1.17786
0.152	1.17925
0.153	1.18064
0.154	1.18203
0.155	1.18343
0.156	1.18483
0.157	1.18624
0.158	1.18765
0.159	1.18906
0.16	1.19048
0.161	1.1919
0.162	1.19332
0.163	1.19474
0.164	1.19617
0.165	1.1976
0.166	1.19904
0.167	1.20048
0.168	1.20192
0.169	1.20337
0.17	1.20482
0.171	1.20627
0.172	1.20773
0.173	1.20919
0.174	1.21065
0.175	1.21212
0.176	1.21359
0.177	1.21507
0.178	1.21655
0.179	1.21803
0.18	1.21951
0.181	1.221
0.182	1.22249
0.183	1.22399
0.184	1.22549
0.185	1.22699
0.186	1.2285
0.187	1.23001
0.188	1.23153
0.189	1.23305
0.19	1.23457
0.191	1.23609
0.192	1.23762
0.193	1.23916
0.194	1.24069
0.195	1.24224
0.196	1.24378
0.197	1.24533
0.198	1.24688
0.199	1.24844
0.2	1.25
0.201	1.25156
0.202	1.25313
0.203	1.25471
0.204	1.25628
0.205	1.25786
0.206	1.25945
0.207	1.26103
0.208	1.26263
0.209	1.26422
0.21	1.26582
0.211	1.26743
0.212	1.26904
0.213	1.27065
0.214	1.27226
0.215	1.27389
0.216	1.27551
0.217	1.27714
0.218	1.27877
0.219	1.28041
0.22	1.28205
0.221	1.2837
0.222	1.28535
0.223	1.287
0.224	1.28866
0.225	1.29032
0.226	1.29199
0.227	1.29366
0.228	1.29534
0.229	1.29702
0.23	1.2987
0.231	1.30039
0.232	1.30208
0.233	1.30378
0.234	1.30548
0.235	1.30719
0.236	1.3089
0.237	1.31062
0.238	1.31234
0.239	1.31406
0.24	1.31579
0.241	1.31752
0.242	1.31926
0.243	1.321
0.244	1.32275
0.245	1.3245
0.246	1.32626
0.247	1.32802
0.248	1.32979
0.249	1.33156
0.25	1.33333
0.251	1.33511
0.252	1.3369
0.253	1.33869
0.254	1.34048
0.255	1.34228
